image_name,image_path,source_type,processing_channel,method,attack,level,mse,psnr,ssim,nc,ber
airplane_color,data/misc/4.2.03.tiff,color,Y,dwt,noise,10.0,99.76022805107965,28.141229276025935,0.8413514716683784,1.0,0.0
airplane_color,data/misc/4.2.03.tiff,color,Y,dwt,noise,20.0,389.18868001302087,22.229201610274444,0.6385919271529804,1.0,0.0
airplane_color,data/misc/4.2.03.tiff,color,Y,dwt,resize,0.5,313.73002921210394,23.165242709334844,0.6859768676466439,1.0,0.0
airplane_color,data/misc/4.2.03.tiff,color,Y,dwt,resize,0.75,175.18848546346027,25.69574802780236,0.8323349479875752,1.0,0.0
airplane_color,data/misc/4.2.03.tiff,color,Y,dwt,resize,1.5,57.516028510199654,30.532914705524124,0.9477807253375924,1.0,0.0
bsd_color,data/images/test/101085.jpg,color,Y,dft,jpeg,90.0,15.236932115436788,36.30182828212141,0.9786118598056688,0.8251953125,0.08740234375
bsd_color,data/images/test/101085.jpg,color,Y,dft,jpeg,70.0,62.45850235569863,30.174887944616238,0.9247296826155385,0.82421875,0.087890625
bsd_color,data/images/test/101085.jpg,color,Y,dft,jpeg,50.0,104.04921888099457,27.958415366465225,0.8831365790405143,0.8193359375,0.09033203125
bsd_color,data/images/test/101085.jpg,color,Y,dft,jpeg,30.0,157.50492764511458,26.157862153416225,0.8327515546882873,0.81103515625,0.094482421875
bsd_color,data/images/test/101085.jpg,color,Y,dft,noise,5.0,24.609372852363506,34.21979814626641,0.9650551966963318,0.8251953125,0.08740234375
bsd_color,data/images/test/101085.jpg,color,Y,dft,noise,10.0,96.30375378973511,28.294371452034454,0.8824734725221494,0.82080078125,0.089599609375
bsd_color,data/images/test/101085.jpg,color,Y,dft,noise,20.0,371.7279148307186,22.428551852934753,0.6909677346938726,0.77783203125,0.111083984375
bsd_color,data/images/test/101085.jpg,color,Y,dft,resize,0.5,361.6394086394085,22.54804610463718,0.6822339697415502,0.42919921875,0.285400390625
bsd_color,data/images/test/101085.jpg,color,Y,dft,resize,0.75,197.25105191460332,25.18061032943413,0.8287189159019339,0.72802734375,0.135986328125
bsd_color,data/images/test/101085.jpg,color,Y,dft,resize,1.5,59.60609279300867,30.377897063098697,0.9529811302263382,0.82177734375,0.089111328125
